SeqId	SomaId	UNIPROT	Target	TargetFullName	EntrezGeneID	EntrezGeneSymbol	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38	uniprot_gn_id
23564-83	SL023622	Q5VZV1	MT21C	Protein-lysine methyltransferase METTL21C	196541	METTL21C	METTL21C	196541	METTL21C	HGNC:33717	METTL21C	METTL21C	protein_coding	13	103338097	103346871	-	102685747	102695044	-	Q5VZV1
23566-6	SL006112	Q9BQE5	ApoL-II	Apolipoprotein-L2	23780	APOL2	APOL2	23780	APOL2	HGNC:619	APOL2	APOL2	protein_coding	22	36622255	36636000	-	36226209	36239954	-	Q9BQE5
23567-37	SL010782	P50148	GNAQ	Guanine nucleotide-binding protein G(q) subunit alpha	2776	GNAQ	GNAQ	2776	GNAQ	HGNC:4390	GNAQ	GNAQ	protein_coding	9	80335191	80646219	-	77716097	78031811	-	P50148
23568-41	SL023304	O14770	MEIS2	Homeobox protein Meis2	4212	MEIS2	MEIS2	4212	MEIS2	HGNC:7001	MEIS2	MEIS2	protein_coding	15	37183222	37393500	-	36889204	37101299	-	O14770
23569-53	SL023345	Q9Y365	STA10	START domain-containing protein 10	10809	STARD10	STARD10	10809	STARD10	HGNC:10666	STARD10	STARD10	protein_coding	11	72465774	72504750	-	72754729	72794047	-	Q9Y365
23570-87	SL023726	Q9P0L1	ZKSC7	Zinc finger protein with KRAB and SCAN domains 7	55888	ZKSCAN7	ZKSCAN7	55888	ZKSCAN7	HGNC:12955	ZKSCAN7	ZKSCAN7	protein_coding	3	44596713	44624973	+	44555193	44594173	+	Q9P0L1
23571-93	SL023432	Q9BW85	CCD94	Coiled-coil domain-containing protein 94	55702	YJU2	YJU2	55702	YJU2	HGNC:25518	YJU2	YJU2	protein_coding	19	4247111	4269085	+	4247080	4269088	+	Q9BW85
23572-186	SL023530	Q6IPR3	TYW3	tRNA wybutosine-synthesizing protein 3 homolog	127253	TYW3	TYW3	127253	TYW3	HGNC:24757	TYW3	TYW3	protein_coding	1	75198836	75232360	+	74733152	74766678	+	Q6IPR3
23575-58	SL023541	Q49B96	COX19	Cytochrome c oxidase assembly protein COX19	90639	COX19	COX19	90639	COX19	HGNC:28074	COX19	COX19	protein_coding	7	1004486	1015235	-	964852	975549	-	Q49B96
23576-46	SL021759	Q9NWD9	BEX4	Protein BEX4	56271	BEX4	BEX4	56271	BEX4	HGNC:25475	BEX4	BEX4	protein_coding	X	102470020	102472128	+	103215108	103217246	+	Q9NWD9
23578-6	SL023242	Q9BZL3	SMIM3	Small integral membrane protein 3	85027	SMIM3	SMIM3	85027	SMIM3	HGNC:30248	SMIM3	SMIM3	protein_coding	5	150157508	150176298	+	150778757	150796734	+	Q9BZL3
23579-3	SL018622	Q5H943	KKLC1	Kita-kyushu lung cancer antigen 1	203413	CT83	CT83	203413	CT83	HGNC:33494	CT83	CT83	protein_coding	X	115592853	115594194	-	116461686	116462976	-	Q5H943
2358-19	SL003322	P35916	VEGF sR3	Vascular endothelial growth factor receptor 3	2324	FLT4	FLT4	2324	FLT4	HGNC:3767	FLT4	FLT4	protein_coding	5	180028506	180076624	-	180601506	180649624	-	P35916
23580-2	SL023456	Q8IV56	PRR15	Proline-rich protein 15	222171	PRR15	PRR15	222171	PRR15	HGNC:22310	PRR15	PRR15	protein_coding	7	29603427	29606911	+	29563835	29567293	+	Q8IV56
23581-131	SL023012	Q9UBU3	Obestatin	Obestatin	51738	GHRL	GHRL	51738	GHRL	HGNC:18129	GHRL	GHRL	protein_coding	3	10327434	10334631	-	10285666	10292947	-	Q9UBU3
23584-2	SL023535	Q9NV35	NUD15	Nucleotide triphosphate diphosphatase NUDT15	55270	NUDT15	NUDT15	55270	NUDT15	HGNC:23063	NUDT15	NUDT15	protein_coding	13	48611703	48621282	+	48037726	48047221	+	Q9NV35
23586-32	SL004478	P78358	Cancer/testis antigen 1B	Cancer/testis antigen 1B	1485	CTAG1B	CTAG1A	246100	CTAG1A	HGNC:24198	CTAG1A	CTAG1A	protein_coding	X	NA	NA	NA	154585133	154586816	+	NA
23588-9	SL023539	Q6YN16	HSDL2	Hydroxysteroid dehydrogenase-like protein 2	84263	HSDL2	HSDL2	84263	HSDL2	HGNC:18572	HSDL2	HSDL2	protein_coding	9	115142189	115234685	+	112380080	112472405	+	Q6YN16
23589-21	SL023543	Q86WC6	PPR27	Protein phosphatase 1 regulatory subunit 27	116729	PPP1R27	PPP1R27	116729	PPP1R27	HGNC:16813	PPP1R27	PPP1R27	protein_coding	17	79791368	79792926	-	81833492	81835050	-	Q86WC6
23591-9	SL023446	Q8NHP7	EXD1	piRNA biogenesis protein EXD1	161829	EXD1	EXD1	161829	EXD1	HGNC:28507	EXD1	EXD1	protein_coding	15	41474931	41522895	-	41182725	41230757	-	Q8NHP7
23593-14	SL023505	Q8IYB1	M21D2	Protein MB21D2	151963	MB21D2	MB21D2	151963	MB21D2	HGNC:30438	MB21D2	MB21D2	protein_coding	3	192514605	192635950	-	192796815	192917856	-	Q8IYB1
23594-2	SL023517	Q86WQ0	NR2CA	Nuclear receptor 2C2-associated protein	126382	NR2C2AP	NR2C2AP	126382	NR2C2AP	HGNC:30763	NR2C2AP	NR2C2AP	protein_coding	19	19312224	19314238	-	19201409	19203414	-	Q86WQ0
23595-6	SL023158	Q8IV20	LACC1	Laccase domain-containing protein 1	144811	LACC1	LACC1	144811	LACC1	HGNC:26789	LACC1	LACC1	protein_coding	13	44453420	44468068	+	43879284	44028526	+	Q8IV20
23596-17	SL006649	Q8N998	CCD89	Coiled-coil domain-containing protein 89	220388	CCDC89	CCDC89	220388	CCDC89	HGNC:26762	CCDC89	CCDC89	protein_coding	11	85394893	85397320	-	85683848	85686195	-	Q8N998
23597-11	SL023429	O95081	AGFG2	Arf-GAP domain and FG repeat-containing protein 2	3268	AGFG2	AGFG2	3268	AGFG2	HGNC:5177	AGFG2	AGFG2	protein_coding	7	100136834	100165843	+	100539203	100568220	+	O95081
23601-43	SL023533	Q8WYK0	ACO12	Acyl-coenzyme A thioesterase 12	134526	ACOT12	ACOT12	134526	ACOT12	HGNC:24436	ACOT12	ACOT12	protein_coding	5	80625947	80689988	-	81329996	81394179	-	Q8WYK0
23602-35	SL023529	Q6IQ20	NAPEP	N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D	222236	NAPEPLD	NAPEPLD	222236	NAPEPLD	HGNC:21683	NAPEPLD	NAPEPLD	protein_coding	7	102740023	102790007	-	103099776	103149560	-	Q6IQ20
23604-44	SL023489	Q8IUZ5	AT2L2	5-phosphohydroxy-L-lysine phospho-lyase	85007	PHYKPL	PHYKPL	85007	PHYKPL	HGNC:28249	PHYKPL	PHYKPL	protein_coding	5	177635540	177659803	-	178208471	178232802	-	Q8IUZ5
23605-3	SL023496	Q9NUJ3	T11L1	T-complex protein 11-like protein 1	55346	TCP11L1	TCP11L1	55346	TCP11L1	HGNC:25655	TCP11L1	TCP11L1	protein_coding	11	33060963	33127488	+	33039417	33105943	+	Q9NUJ3
23606-18	SL012559	Q5PRF9	SAM4B	Sterile alpha motif domain-containing protein 4B	55095	SAMD4B	SAMD4B	55095	SAMD4B	HGNC:25492	SAMD4B	SAMD4B	protein_coding	19	39833108	39875537	+	39342421	39385710	+	Q5PRF9
23607-1	SL023445	Q8IYS4	CP071	Uncharacterized protein C16orf71	146562	DNAAF8	DNAAF8	146562	DNAAF8	HGNC:25081	DNAAF8	DNAAF8	protein_coding	16	4784289	4799397	+	4734344	4749396	+	Q8IYS4
23611-16	SL023178	Q8N4S9	MALD2	MARVEL domain-containing protein 2	153562	MARVELD2	MARVELD2	153562	MARVELD2	HGNC:26401	MARVELD2	MARVELD2	protein_coding	5	68710939	68738984	+	69415065	69444330	+	Q8N4S9
23615-4	SL013291	Q9UI30	TR112	TRM112-like protein	51504	TRMT112	TRMT112	51504	TRMT112	HGNC:26940	TRMT112	TRMT112	protein_coding	11	64084165	64085033	-	64316460	64317559	-	Q9UI30
23616-4	SL015333	Q9ULC6	PADI1	Protein-arginine deiminase type-1	29943	PADI1	PADI1	29943	PADI1	HGNC:18367	PADI1	PADI1	protein_coding	1	17531621	17572501	+	17205128	17246007	+	Q9ULC6
23617-15	SL013282	Q9NX55	HYPK	Huntingtin-interacting protein K	25764	HYPK	HYPK	25764	HYPK	HGNC:18418	HYPK	HYPK	protein_coding	15	44091556	44095241	+	43792354	43804427	+	Q9NX55
23618-23	SL023295	O00488	ZN593	Zinc finger protein 593	51042	ZNF593	ZNF593	51042	ZNF593	HGNC:30943	ZNF593	ZNF593	protein_coding	1	26496388	26497364	+	26169908	26170873	+	O00488
23619-235	SL015346	Q9UNZ5	L10K	Leydig cell tumor 10 kDa protein homolog	28974	C19orf53	C19orf53	28974	C19orf53	HGNC:24991	C19orf53	C19orf53	protein_coding	19	13885257	13889586	+	13774456	13778773	+	Q9UNZ5
23620-16	SL023545	Q6JBY9	CPZIP	CapZ-interacting protein	92241	RCSD1	RCSD1	92241	RCSD1	HGNC:28310	RCSD1	RCSD1	protein_coding	1	167599474	167675486	+	167630093	167708696	+	Q6JBY9
23621-326	SL023325	Q9Y5L4	TIM13	Mitochondrial import inner membrane translocase subunit Tim13	26517	TIMM13	TIMM13	26517	TIMM13	HGNC:11816	TIMM13	TIMM13	protein_coding	19	2425622	2427875	-	2425625	2427586	-	Q9Y5L4
23622-128	SL023327	Q9NRY2	SOSSC	SOSS complex subunit C	58493	INIP	INIP	58493	INIP	HGNC:24994	INIP	INIP	protein_coding	9	115448791	115480387	-	112683926	112718149	-	Q9NRY2
23623-48	SL023337	Q96G61	NUD11	Diphosphoinositol polyphosphate phosphohydrolase 3-beta	55190	NUDT11	NUDT11	55190	NUDT11	HGNC:18011	NUDT11	NUDT11	protein_coding	X	51232863	51239459	-	51490011	51496592	-	Q96G61
23624-34	SL007730	Q9NZ42	PEN2	Gamma-secretase subunit PEN-2	55851	PSENEN	PSENEN	55851	PSENEN	HGNC:30100	PSENEN	PSENEN	protein_coding	19	36236494	36243734	+	35745600	35747519	+	Q9NZ42
23625-44	SL023349	Q96AT1	K1143	Uncharacterized protein KIAA1143	57456	KIAA1143	KIAA1143	57456	KIAA1143	HGNC:29198	KIAA1143	KIAA1143	protein_coding	3	44790236	44803173	-	44737661	44761619	-	Q96AT1
23627-3	SL017257	Q5VUM1	CF057	UPF0369 protein C6orf57	135154	SDHAF4	SDHAF4	135154	SDHAF4	HGNC:20957	SDHAF4	SDHAF4	protein_coding	6	71276625	71298606	+	70566917	70589569	+	Q5VUM1
23628-9	SL023433	O75312	ZPR1	Zinc finger protein ZPR1	8882	ZPR1	ZPR1	8882	ZPR1	HGNC:13051	ZPR1	ZPR1	protein_coding	11	116649276	116658739	-	116773799	116788039	-	O75312
23629-4	SL023547	Q2NL98	VMAC	Vimentin-type intermediate filament-associated coiled-coil protein	400673	VMAC	VMAC	400673	VMAC	HGNC:33803	VMAC	VMAC	protein_coding	19	5904852	5910263	+	5904872	5910853	+	Q2NL98
23631-1	SL023276	Q01415	GALK2	N-acetylgalactosamine kinase	2585	GALK2	GALK2	2585	GALK2	HGNC:4119	GALK2	GALK2	protein_coding	15	49447976	49622002	+	49155656	49367869	+	Q01415
23632-22	SL023425	Q499Z3	SLNL1	Schlafen-like protein 1	200172	SLFNL1	SLFNL1	200172	SLFNL1	HGNC:26313	SLFNL1	SLFNL1	protein_coding	1	41481269	41487427	-	41015589	41023237	-	Q499Z3
23637-55	SL019545	Q96BH1	RNF25	E3 ubiquitin-protein ligase RNF25	64320	RNF25	RNF25	64320	RNF25	HGNC:14662	RNF25	RNF25	protein_coding	2	219528587	219536781	-	218663892	218672002	-	Q96BH1
23638-3	SL023223	Q8N4J0	CARME	Carnosine N-methyltransferase	138199	CARNMT1	CARNMT1	138199	CARNMT1	HGNC:23435	CARNMT1	CARNMT1	protein_coding	9	77597873	77643310	-	74980790	75028423	-	Q8N4J0
23639-93	SL023409	Q8NDH3	PEPL1	Probable aminopeptidase NPEPL1	79716	NPEPL1	NPEPL1	79716	NPEPL1	HGNC:16244	NPEPL1	NPEPL1	protein_coding	20	57264187	57291367	+	58689131	58719238	+	NA
23640-10	SL008316	Q9NZN4	EHD2	EH domain-containing protein 2	30846	EHD2	EHD2	30846	EHD2	HGNC:3243	EHD2	EHD2	protein_coding	19	48216601	48246391	+	47713422	47743134	+	Q9NZN4
23643-22	SL008124	P51659	DHB4	Peroxisomal multifunctional enzyme type 2	3295	HSD17B4	HSD17B4	3295	HSD17B4	HGNC:5213	HSD17B4	HSD17B4	protein_coding	5	118788138	118878030	+	119452465	119637199	+	P51659
23644-19	SL009114	Q3LXA3	DAK	Dihydroxyacetone kinase	26007	TKFC	TKFC	26007	TKFC	HGNC:24552	TKFC	TKFC	protein_coding	11	61100654	61116231	+	61333220	61353295	+	Q3LXA3
23645-49	SL023274	Q9UJ83	HACL1	2-hydroxyacyl-CoA lyase 1	26061	HACL1	HACL1	26061	HACL1	HGNC:17856	HACL1	HACL1	protein_coding	3	15529713	15643130	-	15560699	15601852	-	Q9UJ83
23646-5	SL023404	Q9NZN9	AIPL1	Aryl-hydrocarbon-interacting protein-like 1	23746	AIPL1	AIPL1	23746	AIPL1	HGNC:359	AIPL1	AIPL1	protein_coding	17	6327059	6338519	-	6393693	6435199	-	Q9NZN9
23648-36	SL023194	Q8WTU0	DDI1	Protein DDI1 homolog 1	414301	DDI1	DDI1	414301	DDI1	HGNC:18961	DDI1	DDI1	protein_coding	11	103907308	103909922	+	104036640	104039196	+	Q8WTU0
23649-6	SL021252	O95198	KLHL2	Kelch-like protein 2	11275	KLHL2	KLHL2	11275	KLHL2	HGNC:6353	KLHL2	KLHL2	protein_coding	4	166128770	166244308	+	165207561	165323156	+	O95198
23650-2	SL004790	Q08495	Dematin	Dematin	2039	DMTN	DMTN	2039	DMTN	HGNC:3382	DMTN	DMTN	protein_coding	8	21911081	21940036	+	22048995	22082527	+	Q08495
23652-15	SL023211	Q9P0Z9	SOX	Peroxisomal sarcosine oxidase	51268	PIPOX	PIPOX	51268	PIPOX	HGNC:17804	PIPOX	PIPOX	protein_coding	17	27369918	27384236	+	28950513	29057216	+	Q9P0Z9
23654-6	SL006733	Q9H553	ALG2	Alpha-1,3-mannosyltransferase ALG2	85365	ALG2	ALG2	85365	ALG2	HGNC:23159	ALG2	ALG2	protein_coding	9	101978707	101984246	-	99216425	99221942	-	Q9H553
23656-9	SL023416	Q96PZ0	PUS7	Pseudouridylate synthase 7 homolog	54517	PUS7	PUS7	54517	PUS7	HGNC:26033	PUS7	PUS7	protein_coding	7	105096960	105162685	-	105439661	105522271	-	Q96PZ0
23657-102	SL023354	Q8WVV9	HNRLL	Heterogeneous nuclear ribonucleoprotein L-like	92906	HNRNPLL	HNRNPLL	92906	HNRNPLL	HGNC:25127	HNRNPLL	HNRNPLL	protein_coding	2	38790328	38830178	-	38561969	38603586	-	Q8WVV9
23658-1	SL023344	Q96I59	SYNM	Probable asparagine--tRNA ligase, mitochondrial	79731	NARS2	NARS2	79731	NARS2	HGNC:26274	NARS2	NARS2	protein_coding	11	78147007	78285909	-	78435620	78575194	-	Q96I59
23659-2	SL023348	Q9Y6E2	BZW2	Basic leucine zipper and W2 domain-containing protein 2	28969	BZW2	BZW2	28969	BZW2	HGNC:18808	BZW2	BZW2	protein_coding	7	16685759	16746148	+	16646131	16706523	+	Q9Y6E2
23660-112	SL023275	O60662	KLH41	Kelch-like protein 41	10324	KLHL41	KLHL41	10324	KLHL41	HGNC:16905	KLHL41	KLHL41	protein_coding	2	170336006	170382772	+	169509702	169526258	+	O60662
23661-61	SL013279	Q9NQH7	XPP3	Probable Xaa-Pro aminopeptidase 3	63929	XPNPEP3	XPNPEP3	63929	XPNPEP3	HGNC:28052	XPNPEP3	XPNPEP3	protein_coding	22	41253085	41363888	+	40857077	40932815	+	Q9NQH7
23662-10	SL023401	O60239	3BP5	SH3 domain-binding protein 5	9467	SH3BP5	SH3BP5	9467	SH3BP5	HGNC:10827	SH3BP5	SH3BP5	protein_coding	3	15295863	15382901	-	15254353	15341368	-	O60239
23663-28	SL008447	P21283	VATC1	Vacuolar ATP synthase subunit C 1	528	ATP6V1C1	ATP6V1C1	528	ATP6V1C1	HGNC:856	ATP6V1C1	ATP6V1C1	protein_coding	8	104033248	104085285	+	103021063	103073051	+	P21283
23664-17	SL023395	Q9BST9	RTKN	Rhotekin	6242	RTKN	RTKN	6242	RTKN	HGNC:10466	RTKN	RTKN	protein_coding	2	74652988	74669060	-	74425835	74442422	-	Q9BST9
23665-35	SL010949	P17980	PRS6A	26S protease regulatory subunit 6A	5702	PSMC3	PSMC3	5702	PSMC3	HGNC:9549	PSMC3	PSMC3	protein_coding	11	47440320	47448024	-	47418769	47426473	-	P17980
23666-35	SL010956	P31939	PUR9	Bifunctional purine biosynthesis protein PURH	471	ATIC	ATIC	471	ATIC	HGNC:794	ATIC	ATIC	protein_coding	2	216176679	216214496	+	215311956	215349773	+	P31939
23668-281	SL023176	Q9NQG6	MID51	Mitochondrial dynamics protein MID51	54471	MIEF1	MIEF1	54471	MIEF1	HGNC:25979	MIEF1	MIEF1	protein_coding	22	39896105	39914137	+	39499432	39518132	+	Q9NQG6
23669-20	SL023277	O94808	GFPT2	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2	9945	GFPT2	GFPT2	9945	GFPT2	HGNC:4242	GFPT2	GFPT2	protein_coding	5	179727700	179780315	-	180300698	180353336	-	O94808
23670-11	SL023303	Q9BQC3	DPH2	2-(3-amino-3-carboxypropyl)histidine synthase subunit 2	1802	DPH2	DPH2	1802	DPH2	HGNC:3004	DPH2	DPH2	protein_coding	1	44435653	44439043	+	43970000	43973369	+	Q9BQC3
23671-11	SL023342	Q96EA4	SPDLY	Protein Spindly	54908	SPDL1	SPDL1	54908	SPDL1	HGNC:26010	SPDL1	SPDL1	protein_coding	5	169010638	169031781	+	169583636	169604778	+	Q96EA4
23672-10	SL010951	Q15008	PSMD6	26S proteasome non-ATPase regulatory subunit 6	9861	PSMD6	PSMD6	9861	PSMD6	HGNC:9564	PSMD6	PSMD6	protein_coding	3	63996225	64009686	-	64010550	64024010	-	Q15008
23673-9	SL020208	P11182	ODB2	Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial	1629	DBT	DBT	NA	DBT	HGNC:2698	DBT	DBT	protein_coding	1	100652478	100715409	-	100186919	100249834	-	A0A7P0Z494
23675-16	SL023376	Q8TAP6	CEP76	Centrosomal protein of 76 kDa	79959	CEP76	CEP76	79959	CEP76	HGNC:25727	CEP76	CEP76	protein_coding	18	12661955	12702776	-	12661833	12702777	-	Q8TAP6
23677-30	SL023388	Q9NZQ3	SPN90	NCK-interacting protein with SH3 domain	51517	NCKIPSD	NCKIPSD	51517	NCKIPSD	HGNC:15486	NCKIPSD	NCKIPSD	protein_coding	3	48711278	48723334	-	48673844	48686364	-	Q9NZQ3
23678-132	SL023144	P56693	SOX10	Transcription factor SOX-10	6663	SOX10	SOX10	6663	SOX10	HGNC:11190	SOX10	SOX10	protein_coding	22	38368319	38383429	-	37970686	37987422	-	P56693
23679-43	SL023315	Q9BVC3	DCC1	Sister chromatid cohesion protein DCC1	79075	DSCC1	DSCC1	79075	DSCC1	HGNC:24453	DSCC1	DSCC1	protein_coding	8	120846181	120868170	-	119833976	119855894	-	Q9BVC3
23680-1	SL005028	Q5D1E8	MCPIP	MCP-1 Induced Protein	80149	ZC3H12A	ZC3H12A	80149	ZC3H12A	HGNC:26259	ZC3H12A	ZC3H12A	protein_coding	1	37940119	37949978	+	37474580	37484377	+	Q5D1E8
23682-79	SL023302	Q5T8I9	HENMT	Small RNA 2'-O-methyltransferase	113802	HENMT1	HENMT1	113802	HENMT1	HGNC:26400	HENMT1	HENMT1	protein_coding	1	109190910	109204148	-	108648290	108661526	-	Q5T8I9
23683-79	SL023216	Q9BYV6	TRI55	Tripartite motif-containing protein 55	84675	TRIM55	TRIM55	84675	TRIM55	HGNC:14215	TRIM55	TRIM55	protein_coding	8	67039278	67087718	+	66112667	66175485	+	Q9BYV6
23685-132	SL023422	Q8TC57	M1AP	Meiosis 1 arrest protein	130951	M1AP	M1AP	130951	M1AP	HGNC:25183	M1AP	M1AP	protein_coding	2	74785010	74875457	-	74557883	74648338	-	Q8TC57
23686-44	SL023271	Q69YN2	C19L1	CWF19-like protein 1	55280	CWF19L1	CWF19L1	55280	CWF19L1	HGNC:25613	CWF19L1	CWF19L1	protein_coding	10	101992055	102027437	-	100232298	100267680	-	Q69YN2
23687-27	SL023386	Q96BZ9	TBC20	TBC1 domain family member 20	128637	TBC1D20	TBC1D20	128637	TBC1D20	HGNC:16133	TBC1D20	TBC1D20	protein_coding	20	416124	443187	-	423596	462566	-	Q96BZ9
23689-52	SL023192	O95741	CPNE6	Copine-6	9362	CPNE6	CPNE6	9362	CPNE6	HGNC:2319	CPNE6	CPNE6	protein_coding	14	24540046	24547296	+	24070837	24078100	+	O95741
23690-228	SL023335	Q96IZ5	RBM41	RNA-binding protein 41	55285	RBM41	RBM41	55285	RBM41	HGNC:25617	RBM41	RBM41	protein_coding	X	106305118	106362057	-	107052095	107118823	-	Q96IZ5
23691-2	SL010925	Q14166	TTL12	Tubulin--tyrosine ligase-like protein 12	23170	TTLL12	TTLL12	23170	TTLL12	HGNC:28974	TTLL12	TTLL12	protein_coding	22	43562628	43583137	-	43166622	43187134	-	Q14166
23692-19	SL023168	Q9H6R3	ACSS3	Acyl-CoA synthetase short-chain family member 3, mitochondrial	79611	ACSS3	ACSS3	79611	ACSS3	HGNC:24723	ACSS3	ACSS3	protein_coding	12	81471809	81649582	+	80937815	81261210	+	Q9H6R3
23693-4	SL023148	Q9BUB5	MKNK1	MAP kinase-interacting serine/threonine-protein kinase 1	8569	MKNK1	MKNK1	8569	MKNK1	HGNC:7110	MKNK1	MKNK1	protein_coding	1	47023079	47082563	-	46557407	46616843	-	Q9BUB5
23694-3	SL007089	P08243	ASNS	Asparagine synthetase	440	ASNS	ASNS	440	ASNS	HGNC:753	ASNS	ASNS	protein_coding	7	97481429	97501854	-	97851677	97972985	-	P08243
23695-1	SL023293	Q9BTV5	FSD1	Fibronectin type III and SPRY domain-containing protein 1	79187	FSD1	FSD1	79187	FSD1	HGNC:13745	FSD1	FSD1	protein_coding	19	4304591	4323843	+	4304598	4323843	+	Q9BTV5
23696-256	SL023309	Q9UJA5	TRM6	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6	51605	TRMT6	TRMT6	51605	TRMT6	HGNC:20900	TRMT6	TRMT6	protein_coding	20	5918486	5931173	-	5937228	5950558	-	Q9UJA5
23699-61	SL008095	P36957	ODO2	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial	1743	DLST	DLST	1743	DLST	HGNC:2911	DLST	DLST	protein_coding	14	75348594	75370450	+	74881891	74903743	+	P36957
23700-42	SL023306	Q9NUQ8	ABCF3	ATP-binding cassette sub-family F member 3	55324	ABCF3	ABCF3	55324	ABCF3	HGNC:72	ABCF3	ABCF3	protein_coding	3	183903863	183911795	+	184186095	184194012	+	Q9NUQ8
23702-98	SL023385	Q8TBC3	SHKB1	SH3KBP1-binding protein 1	92799	SHKBP1	SHKBP1	92799	SHKBP1	HGNC:19214	SHKBP1	SHKBP1	protein_coding	19	41082757	41097305	+	40576853	40591399	+	Q8TBC3
23703-8	SL008278	Q96HC4	PDLI5	PDZ and LIM domain protein 5	10611	PDLIM5	PDLIM5	10611	PDLIM5	HGNC:17468	PDLIM5	PDLIM5	protein_coding	4	95373008	95589378	+	94451857	94668227	+	Q96HC4
23704-11	SL010846	O14523	TMM24	Transmembrane protein 24	9854	C2CD2L	C2CD2L	9854	C2CD2L	HGNC:29000	C2CD2L	C2CD2L	protein_coding	11	118978093	118987827	+	119102198	119118544	+	O14523
23705-42	SL007138	P17812	PYRG1	CTP synthase 1	1503	CTPS1	CTPS1	1503	CTPS1	HGNC:2519	CTPS1	CTPS1	protein_coding	1	41445007	41478235	+	40979300	41012565	+	P17812
23706-13	SL023175	Q9BVS5	TR61B	tRNA (adenine(58)-N(1))-methyltransferase, mitochondrial	55006	TRMT61B	TRMT61B	55006	TRMT61B	HGNC:26070	TRMT61B	TRMT61B	protein_coding	2	29072688	29093175	-	28849821	28870309	-	Q9BVS5
23767-1	SL023052	Q9H6J7	CK049	UPF0705 protein C11orf49	79096	CSTPP1	CSTPP1	79096	CSTPP1	HGNC:28720	CSTPP1	CSTPP1	protein_coding	11	46958240	47185931	+	46936689	47164385	+	Q9H6J7
23771-17	SL023037	Q9Y2D1	ATF5	Cyclic AMP-dependent transcription factor ATF-5	22809	ATF5	ATF5	22809	ATF5	HGNC:790	ATF5	ATF5	protein_coding	19	50431959	50437193	+	49928702	49933935	+	Q9Y2D1
23783-22	SL023049	Q9BQ89	F110A	Protein FAM110A	83541	FAM110A	FAM110A	83541	FAM110A	HGNC:16188	FAM110A	FAM110A	protein_coding	20	814356	826922	+	833715	846279	+	Q9BQ89
2381-52	SL000319	P01031	C5	Complement C5	727	C5	C5	727	C5	HGNC:1331	C5	C5	protein_coding	9	123714614	123812554	-	120932987	121075195	-	P01031
23903-3	SL000281	P00505	GOT2	Aspartate aminotransferase, mitochondrial	2806	GOT2	GOT2	2806	GOT2	HGNC:4433	GOT2	GOT2	protein_coding	16	58741035	58768246	-	58707131	58734342	-	P00505
23915-18	SL004603	P51149	Rab-7	Ras-related protein Rab-7	7879	RAB7A	RAB7A	7879	RAB7A	HGNC:9788	RAB7A	RAB7A	protein_coding	3	128444979	128533641	+	128693669	128825942	+	P51149
23923-26	SL016432	P49593	PPM1F	Protein phosphatase 1F	9647	PPM1F	PPM1F	9647	PPM1F	HGNC:19388	PPM1F	PPM1F	protein_coding	22	22273792	22307250	-	21919425	21952848	-	P49593
23929-159	SL022187	Q7Z6L0	PRRT2	Proline-rich transmembrane protein 2	112476	PRRT2	PRRT2	112476	PRRT2	HGNC:30500	PRRT2	PRRT2	protein_coding	16	29823409	29827202	+	29811547	29820092	+	Q7Z6L0
23949-12	SL000144	P05556	CD29	CD29	3688	ITGB1	ITGB1	3688	ITGB1	HGNC:6153	ITGB1	ITGB1	protein_coding	10	33189246	33247293	-	32887273	33005792	-	P05556
23967-8	SL015186	Q9BTK6	PA1	PAXIP1-associated protein 1	79447	PAGR1	PAGR1	79447	PAGR1	HGNC:28707	PAGR1	PAGR1	protein_coding	16	29827528	29833816	+	29816152	29830627	+	Q9BTK6
23981-172	SL009336	P15085	CBPA1	Carboxypeptidase A1	1357	CPA1	CPA1	1357	CPA1	HGNC:2296	CPA1	CPA1	protein_coding	7	130020290	130027949	+	130380339	130388114	+	P15085
24011-27	SL018581	Q86VR7	VS10L	V-set and immunoglobulin domain-containing protein 10-like	147645	VSIG10L	VSIG10L	147645	VSIG10L	HGNC:27111	VSIG10L	VSIG10L	protein_coding	19	51834795	51845378	-	51331536	51342139	-	Q86VR7
24013-6	SL010865	Q14833	GRM4	Metabotropic glutamate receptor 4	2914	GRM4	GRM4	2914	GRM4	HGNC:4596	GRM4	GRM4	protein_coding	6	33989623	34123399	-	34018643	34155622	-	Q14833
24023-35	SL003500	Q9UNN8	sEPCR	soluble Endothelial protein C receptor	10544	PROCR	PROCR	10544	PROCR	HGNC:9452	PROCR	PROCR	protein_coding	20	33759774	33765165	+	35172072	35216240	+	Q9UNN8
24027-32	SL007516	Q86WN2	IFNE1	Interferon epsilon-1	338376	IFNE	IFNE	338376	IFNE	HGNC:18163	IFNE	IFNE	protein_coding	9	21480839	21482312	-	21480839	21482313	-	Q86WN2
